Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,collection_date,period,granularity
2022-09-01 00:00:00-04:00,108.27999877929688,111.62000274658203,95.55999755859375,95.6500015258789,95.54035186767578,613278900,0.0,0.0,2024-08-18,2y,1mo
2022-10-01 00:00:00-04:00,96.76000213623047,104.81999969482422,91.80000305175781,94.51000213623047,94.40165710449219,681488300,0.0,0.0,2024-08-18,2y,1mo
2022-11-01 00:00:00-04:00,95.44999694824219,101.04000091552734,83.33999633789062,100.98999786376953,100.87422180175781,716522700,0.0,0.0,2024-08-18,2y,1mo
2022-12-01 00:00:00-05:00,101.0199966430664,102.25,85.94000244140625,88.2300033569336,88.12886047363281,603127800,0.0,0.0,2024-08-18,2y,1mo
2023-01-01 00:00:00-05:00,89.58999633789062,100.31999969482422,84.86000061035156,98.83999633789062,98.72669219970703,672897800,0.0,0.0,2024-08-18,2y,1mo
2023-02-01 00:00:00-05:00,98.70999908447266,108.18000030517578,88.58000183105469,90.05999755859375,89.95675659179688,952580200,0.0,0.0,2024-08-18,2y,1mo
2023-03-01 00:00:00-05:00,89.9800033569336,106.58999633789062,89.41999816894531,103.7300033569336,103.61109161376953,859933900,0.0,0.0,2024-08-18,2y,1mo
2023-04-01 00:00:00-04:00,102.38999938964844,109.16999816894531,101.93000030517578,107.33999633789062,107.2169418334961,604106300,0.0,0.0,2024-08-18,2y,1mo
2023-05-01 00:00:00-04:00,106.83999633789062,126.43000030517578,103.70999908447266,122.87000274658203,122.7291488647461,820545400,0.0,0.0,2024-08-18,2y,1mo
2023-06-01 00:00:00-04:00,122.81999969482422,129.0399932861328,116.0999984741211,119.69999694824219,119.56277465820312,656756700,0.0,0.0,2024-08-18,2y,1mo
2023-07-01 00:00:00-04:00,119.23999786376953,133.74000549316406,115.3499984741211,132.72000122070312,132.56785583496094,708341500,0.0,0.0,2024-08-18,2y,1mo
2023-08-01 00:00:00-04:00,130.77999877929688,138.0,126.37999725341797,136.1699981689453,136.01390075683594,593289000,0.0,0.0,2024-08-18,2y,1mo
2023-09-01 00:00:00-04:00,137.4600067138672,139.16000366210938,127.22000122070312,130.86000061035156,130.70999145507812,477542100,0.0,0.0,2024-08-18,2y,1mo
2023-10-01 00:00:00-04:00,131.2100067138672,141.22000122070312,120.20999908447266,124.08000183105469,123.93775939941406,680712800,0.0,0.0,2024-08-18,2y,1mo
2023-11-01 00:00:00-04:00,124.06999969482422,139.4199981689453,123.72000122070312,132.52999877929688,132.37806701660156,535220300,0.0,0.0,2024-08-18,2y,1mo
2023-12-01 00:00:00-05:00,131.86000061035156,142.67999267578125,127.9000015258789,139.69000244140625,139.5298614501953,619903000,0.0,0.0,2024-08-18,2y,1mo
2024-01-01 00:00:00-05:00,138.5500030517578,153.77999877929688,135.14999389648438,140.10000610351562,139.93939208984375,580875000,0.0,0.0,2024-08-18,2y,1mo
2024-02-01 00:00:00-05:00,142.1199951171875,149.44000244140625,135.41000366210938,138.4600067138672,138.30128479003906,647669400,0.0,0.0,2024-08-18,2y,1mo
2024-03-01 00:00:00-05:00,138.42999267578125,152.25999450683594,130.6699981689453,150.92999267578125,150.75697326660156,672605900,0.0,0.0,2024-08-18,2y,1mo
2024-04-01 00:00:00-04:00,150.69000244140625,174.7100067138672,149.60000610351562,162.77999877929688,162.59339904785156,659471000,0.0,0.0,2024-08-18,2y,1mo
2024-05-01 00:00:00-04:00,164.3000030517578,178.77000427246094,163.0500030517578,172.5,172.30224609375,542406800,0.0,0.0,2024-08-18,2y,1mo
2024-06-01 00:00:00-04:00,172.5399932861328,186.0500030517578,171.16000366210938,182.14999389648438,181.94117736816406,461090300,0.2,0.0,2024-08-18,2y,1mo
2024-07-01 00:00:00-04:00,183.02999877929688,191.75,164.05999755859375,171.5399932861328,171.5399932861328,526128300,0.0,0.0,2024-08-18,2y,1mo
2024-08-01 00:00:00-04:00,170.25,174.0500030517578,154.92999267578125,162.9600067138672,162.9600067138672,390572547,0.0,0.0,2024-08-18,2y,1mo
